2025-12-24 00:05:23.fff | space:: fired (tap detected)
2025-12-24 00:05:23.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:23.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:23.fff | space:: fired (tap detected)
2025-12-24 00:05:23.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:26.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:27.fff | space:: fired (tap detected)
2025-12-24 00:05:27.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:27.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:27.fff | space:: fired (tap detected)
2025-12-24 00:05:27.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:32.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:32.fff | space:: fired (tap detected)
2025-12-24 00:05:32.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:32.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:32.fff | space:: fired (tap detected)
2025-12-24 00:05:32.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:34.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:34.fff | space:: fired (tap detected)
2025-12-24 00:05:34.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:34.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:34.fff | space:: fired (tap detected)
2025-12-24 00:05:34.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:36.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:36.fff | space:: fired (tap detected)
2025-12-24 00:05:36.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:37.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:37.fff | space:: fired (tap detected)
2025-12-24 00:05:37.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:37.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:38.fff | space:: fired (tap detected)
2025-12-24 00:05:38.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:40.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:40.fff | space:: fired (tap detected)
2025-12-24 00:05:40.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:41.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:41.fff | space:: fired (tap detected)
2025-12-24 00:05:41.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:43.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:43.fff | space:: fired (tap detected)
2025-12-24 00:05:43.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:47.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:47.fff | space:: fired (tap detected)
2025-12-24 00:05:47.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:06:03.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:06:03.fff | space:: fired (tap detected)
2025-12-24 00:06:03.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:06:05.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:06:05.fff | space:: fired (tap detected)
2025-12-24 00:06:05.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:06:30.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:06:31.fff | space+h fired (spaceMode: 1)
2025-12-24 00:06:31.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:06:31.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:06:39.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:06:39.fff | space+h fired (spaceMode: 1)
2025-12-24 00:06:39.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:06:39.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:07:06.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:06.fff | space:: fired (tap detected)
2025-12-24 00:07:06.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:07.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:07.fff | space:: fired (tap detected)
2025-12-24 00:07:07.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:07.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:07.fff | space:: fired (tap detected)
2025-12-24 00:07:07.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:09.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:09.fff | space:: fired (tap detected)
2025-12-24 00:07:09.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:11.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:11.fff | space:: fired (tap detected)
2025-12-24 00:07:11.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:12.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:12.fff | space:: fired (tap detected)
2025-12-24 00:07:12.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:13.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:13.fff | space:: fired (tap detected)
2025-12-24 00:07:13.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:16.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:16.fff | space:: fired (tap detected)
2025-12-24 00:07:16.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:07:22.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:22.fff | space+h fired (spaceMode: 1)
2025-12-24 00:07:22.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:22.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:07:25.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:25.fff | space+h fired (spaceMode: 1)
2025-12-24 00:07:25.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:25.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:07:26.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:07:26.fff | space+l fired (spaceMode: 1)
2025-12-24 00:07:26.fff | space+l fired (spaceMode: 1)
2025-12-24 00:07:26.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:07:26.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:07:26.fff | Timer: PRESS detected - activating space mode
